SE2321000016-G08F;ABC Barnmottagning
SE2321000016-CT5S;H Neo Intensivvård Avd
SE2321000016-CT5V;H Neonatal avdelning
SE2321000016-CT73;H Neonatal mottagning
SE2321000016-BX91;S Barn brännskada Mott
SE2321000016-C4GQ;S Barn endokrin Mott
SE2321000016-C4GR;S Barn koag Mott
SE2321000016-C4GS;S Barn neuro mobil Mott
SE2321000016-C4GW;S Barn neurologi 2 Mott
SE2321000016-BX94;S Barn operation dagvård
SE2321000016-C4GZ;S Barn ortopedi 2 Mott
SE2321000016-C4H2;S Barn uro uroterapi Mott
SE2321000016-B5CW;S Barn 10 avdelning
SE2321000016-B5KK;S Barn 11 avdelning
SE2321000016-B5K8;S Barn 12 avdelning
SE2321000016-B5NF;S Barn 9 avdelning
SE2321000016-CTB0;S Barn Akutmott Kassa
SE2321000016-B0SG;S Barn Akutmottagning
SE2321000016-C5SB;S Barn Akutvård Avd
SE2321000016-CT9N;S Barn Andning resp Mott
SE2321000016-C4GP;S Barn Anestesi 2 Mott
SE2321000016-B5GD;S Barn Anestesi Mott
SE2321000016-B5K9;S Barn Cancer Mott
SE2321000016-B5KM;S Barn Gastro Mott
SE2321000016-B5NL;S Barn Hjärta Mott
SE2321000016-CT9P;S Barn Infektion Mott
SE2321000016-CT9Q;S Barn Kirurgi 1 Mott
SE2321000016-C4GN;S Barn Kirurgi 2 Mott
SE2321000016-B5BT;S Barn Lekterapi Mott
SE2321000016-CT9R;S Barn Lung allergi Mott
SE2321000016-CX9S;S Barn LIVA dagvård
SE2321000016-B5CX;S Barn Neurologi Mott
SE2321000016-B5GF;S Barn Operation
SE2321000016-CT9T;S Barn Ortopedi Mott
SE2321000016-B5GG;S Barn Postop Avd
SE2321000016-DLQ5;S Barn Psykisk hälsa Mott
SE2321000016-CT9V;S Barn Reumatologi Mott
SE2321000016-C4GT;S Barn Rörelseanalys lab
SE2321000016-CT9W;S Barn Smärta Mott
SE2321000016-CT9X;S Barn Smärtbeh dagvård
SE2321000016-DVQ9;S Barn Tarmterapi Mott
SE2321000016-FHFG;S BIMA Intermediär Avd
SE2321000016-B5G7;S BIVA Intensivvård Avd
SE2321000016-C4H8;S Forskn Barnallergi Mott
SE2321000016-B5G8;S LIVA Intensivvård Avd
SE2321000016-B0SL;S Neo intensivvård Avd
SE2321000016-CF31;S Neo BB Avd
SE2321000016-C5S9;S Neo Hemsjukvård Avd
SE2321000016-CT9S;S Neonatal avd
SE2321000016-C4GV;S Neonatal Mott
SE2321000016-DLQS;S SABH mottagning
SE2321000016-C4H0;S SABH Avd
SE2321000016-CT4H;Specmott Barn Liljeholmen
SE2321000016-CT8Q;H Barn HIV mottagning
SE2321000016-FC73;S Barnskyddsteam Öppen
SE2321000016-CT4C;S Barnskyddsteamet Mot*
SE2321000016-CT8T;H Cystisk fibros Mott
SE2321000016-G0J0;SÖS Gyn HBT Mott
SE2321000016-CDD7;H BB mottagning
SE2321000016-CG15;H BB 1 Huddinge Avd
SE2321000016-CT5F;H BB 2 Huddinge Avd
SE2321000016-CT5C;H BB Huddinge eftervård
SE2321000016-CT6F;H Forsk Kvinnohälsan Mott
SE2321000016-CT69;H Fostermedicin Mott
SE2321000016-FRLT;H Förlossning Akutmott
SE2321000016-CT5D;H Gynekologi avdelning
SE2321000016-CT6D;H Gynekologi mottagning
SE2321000016-CT68;H Gynekologi Akutmott
SE2321000016-CT6C;H Gynekologisk kirurgi DV
SE2321000016-F4LR;H Min Barnmorska Mott
SE2321000016-CT6G;H Reproduktionsmed Mott
SE2321000016-CT6J;H Spec MVC mottagning
SE2321000016-C4GM;S BB mottagning
SE2321000016-CF33;S BB Solna
SE2321000016-CG47;S BB Solna eftervård
SE2321000016-C4GK;S Forsk Kvinnohälsan Mott
SE2321000016-C4GL;S Forskn WHO Mott
SE2321000016-C4H6;S Fostermedicin Mott
SE2321000016-FRL9;S Förlossning Akutmott
SE2321000016-C4GH;S Gynendokrinologi Mott
SE2321000016-CF34;S Spec MVC Mott
SE2321000016-D2X6;R Barnhörselhab Mott
SE2321000016-D2Z2;S Läpp Käk Gomspalt Mott
SE2321000016-G1J4;KISTA BUMM
SE2321000016-FM7Z;Knodd
SE2321000016-FWSH;KRY BVC Haga
SE2321000016-9RHK;Kry BVC Hornstull
SE2321000016-FWRH;KRY BVC Sickla
SE2321000016-9S66;Kry BVC Sundbyberg
SE2321000016-167Q;Kry BVC Älta
SE2321000016-1RNK;Kvartersakut Tegnerg BVC
SE2321000016-FN69;Kvinna Sthlm-Södertälje
SE2321000016-CF7J;Kvinna Stockholm BMM
SE2321000016-CC3K;Kvinna Stockholm gynmott
SE2321000016-D5WB;Kvinnohälsan Söder
SE2321000016-B7KX;Livio Gärdet
SE2321000016-BHMH;Livio Kungsholmen
SE2321000016-DZLP;Livio Kungsholmen BMM
SE2321000016-F31C;Lymfödemutredningsmott
SE2321000016-DGL0;Mama Mia Akka BVC
SE2321000016-D0LV;Mama Mia Björkhagen BVC
SE2321000016-CRTB;Mama Mia Danderyd BMM
SE2321000016-1300;Mama Mia Hera BMM
SE2321000016-D0DX;Mama Mia Järna BMM
SE2321000016-D0ZN;Mama Mia Järna BVC
SE2321000016-4JBP;Mama Mia Kista BMM
SE2321000016-54BM;Mama Mia Kista BVC
SE2321000016-5NB3;Mama Mia Kista Ultraljud
SE2321000016-8M67;Mama Mia K-holmen BMM
SE2321000016-8LQM;Mama Mia K-holmen BVC
SE2321000016-CRBB;Mama Mia Nacka BMM
SE2321000016-D0F7;Mama Mia Nykvarns BVC
SE2321000016-5294;Mama Mia Sickla BVC
SE2321000016-7ZHQ;Mama Mia Solna BMM
SE2321000016-7ZHN;Mama Mia Solna BVC
SE2321000016-CLR8;AMSAK Amningsmott
SE2321000016-54BN;Mama Mia Söder BMM
SE2321000016-9FCK;Mama Mia Söder BVC
SE2321000016-5GMC;Mama Mia Söder Ultraljud
SE2321000016-66KS;Mama Mia Östermalm BMM
SE2321000016-107L;Mama Mia Östermalm BVC
SE2321000016-104R;Mama Mia Östermalm Gyn
SE2321000016-5GMB;Mama Mia Östermalm Ultra
SE2321000016-DGJR;MamaMia Nikolay Georgiev
SE2321000016-7DSZ;Mammaproffsen MVC Alby
SE2321000016-9FL5;Mammaproffsen Älta
SE2321000016-G0NX;Martina BUMM Globen
SE2321000016-G0X3;Martina BUMM Huddinge
SE2321000016-G0WW;MayaHugo BUMM Hallunda
SE2321000016-G422;Meja Kvinnohälsa - Jessica
SE2321000016-D4M2;Meja Kvinnohälsa - Marina
SE2321000016-G2HG;Moment BUMM Vällingby
SE2321000016-12ZK;MVC Upplands Väsby
SE2321000016-1086;Mälaröarnas BHV
SE2321000016-DFZJ;Märsta Närvård BVC
SE2321000016-C1XP;Nordic IVF och Gynekologi
SE2321000016-DVRT;Norrtälje BVC
SE2321000016-BCC7;Nya Sveamottagningen
SE2321000016-84NW;Oxbackskliniken Gyn
SE2321000016-FFP8;Oxbackskliniken MVC
SE2321000016-7KSV;STSAB - Kvinnoklin kurator
SE2321000016-1330;TH - BUMM NT
SE2321000016-133S;TH - Gynmott NtS
SE2321000016-8SXW;TH - Hab Barn NT
SE2321000016-G0P2;Prima BUMM Bromma
SE2321000016-G28G;PTJ Rudans VC BHSV
SE2321000016-CHND;Rimbo BVC
SE2321000016-FH4J;Rinkeby BUMM
SE2321000016-B3RR;Rosa Gynekologmottagn.
SE2321000016-9ZFN;ScandocGyn Tensta
SE2321000016-6G6D;Serafen Gyn
SE2321000016-7T11;Sergelkliniken Gyn
SE2321000016-G083;Skärholmen BUMM
SE2321000016-162L;SLSO- Alviks BHV
SE2321000016-BLPF;SLSO- Axelsbergs BHV
SE2321000016-15T0;SLSO- Barnängens BHV
SE2321000016-161G;SLSO- Bromma BMM
SE2321000016-BZCQ;SLSO- Jakobsbergs BMM
SE2321000016-FCPS;SLSO- Kallhälls BMM
SE2321000016-BZCV;SLSO- Kungsängens BMM
SE2321000016-160R;SLSO- Kista BMM
SE2321000016-1668;SLSO- Kungsholmens BMM
SE2321000016-BZCP;SLSO- Lidingö BMM
SE2321000016-BZCR;SLSO- Märsta BMM
SE2321000016-162B;SLSO- Rinkeby BMM
SE2321000016-BZCS;SLSO- Solna BMM
SE2321000016-162Z;SLSO- SpångaTensta BMM
SE2321000016-107S;SLSO- Vällingby BMM
SE2321000016-DRZV;SLSO- Barnängens BMM
SE2321000016-15TN;SLSO- Farsta BMM
SE2321000016-15TL;SLSO- Gullmarsplans BMM
SE2321000016-14GX;SLSO- Haninge BMM
SE2321000016-14LR;SLSO- Huddinge BMM
SE2321000016-14LP;SLSO- Liljeholmens BMM
SE2321000016-14H2;SLSO- Luna BMM
SE2321000016-14LW;SLSO- N Botkyrkas BMM
SE2321000016-14G1;SLSO- Nacka Forum BMM
SE2321000016-14CW;SLSO- Salems BMM
SE2321000016-14LT;SLSO- Skogås BMM
SE2321000016-14LL;SLSO- Skärholmens BMM
SE2321000016-14M0;SLSO- Tullinge BMM
SE2321000016-14JZ;SLSO- Tyresö BMM
SE2321000016-15TK;SLSO- Vantörs BMM
SE2321000016-14LS;SLSO- Vårby BMM
SE2321000016-14LN;SLSO- Älvsjö BMM
SE2321000016-14K2;SLSO- Bollmora BHV
SE2321000016-14HR;SLSO- Boo BHV
SE2321000016-161L;SLSO- Brommaplans BHV
SE2321000016-F43N;SLSO- Danderyd Amning
SE2321000016-1519;SLSO- Danderyds BHV
SE2321000016-1513;SLSO- Enebybergs BHV
SE2321000016-4K0M;SLSO- Essinge BHV
SE2321000016-14HX;SLSO- Fisksätra BHV
SE2321000016-14MK;SLSO- Fittja BHV
SE2321000016-14JL;SLSO- Flemingsbergs BHV
SE2321000016-BQJV;SLSO- Gröndals BHV
SE2321000016-14FP;SLSO- Gustavsbergs BHV
SE2321000016-14FW;SLSO- Gustavsbergs BMM
SE2321000016-165S;SLSO- Gärdets BHV
SE2321000016-14L0;SLSO- Hallunda BHV
SE2321000016-3B0X;SLSO- Haninge BHV
SE2321000016-14FV;SLSO- Hemmesta BHV
SE2321000016-14FD;SLSO- Huddinge BHV
SE2321000016-161N;SLSO- Hässelby BHV
SE2321000016-4BW9;SLSO- Johannes BHV
SE2321000016-1570;SLSO- Kallhäll BHV
SE2321000016-162J;SLSO- Kista BHV
SE2321000016-157R;SLSO- Kungsängen BHV
SE2321000016-152C;SLSO- Lidingö BHV
SE2321000016-14HK;SLSO- Liljeholmens BHV
SE2321000016-14HF;SLSO- Liljeholmens Gyn
SE2321000016-14F2;SLSO- Lisebergs BHV
SE2321000016-14KR;SLSO- Luna BHV
SE2321000016-DMW5;SLSO- S-tälje Amningmott
SE2321000016-14G5;SLSO- Nacka Forum BHV
SE2321000016-160K;SLSO- Rinkeby BHV
SE2321000016-154M;SLSO- Rissne Hallonb BHV
SE2321000016-2WXV;SLSO- Tallhöjdens BHV
SE2321000016-15D2;SLSO- Rotebro BHV
SE2321000016-14CZ;SLSO- Salems BHV
SE2321000016-2MG3;SLSO- Sigtuna BHV
SE2321000016-FLZ3;SLSO- Skärholmen Amning
SE2321000016-14H7;SLSO- Skärholmens BHV
SE2321000016-DR6K;SLSO- Sollentuna Amning
SE2321000016-15CR;SLSO- Sollentuna BHV
SE2321000016-4HS6;SLSO- Solna BHV
SE2321000016-161K;SLSO- Spånga Tensta BHV
SE2321000016-4GH9;SLSO- Surbrunn BHV
SE2321000016-DV40;SLSO- Södermalms Amning
SE2321000016-14L7;SLSO- Trollbäckens BHV
SE2321000016-14JP;SLSO- Trångsunds BHV
SE2321000016-14MB;SLSO- Tullinge BHV
SE2321000016-14FZ;SLSO- Tumba BHV
SE2321000016-150M;SLSO- Täby BMM
SE2321000016-151V;SLSO- Vallentuna BHV
SE2321000016-151S;SLSO- Vallentuna BMM
SE2321000016-12XB;SLSO- Valsta BHV
SE2321000016-1HBN;SLSO- Vantörs BHV
SE2321000016-14L4;SLSO- Vårby BHV
SE2321000016-DR6L;SLSO- Vällingby Amning
SE2321000016-107K;SLSO- Vällingby BHV
SE2321000016-14XQ;SLSO- Åkersberga BMM
SE2321000016-14LD;SLSO- Älvsjö BHV
SE2321000016-G259;Sollentuna BUMM Martina
SE2321000016-9622;Stockholm IVF
SE2321000016-G14C;StockholmKids CityBUMM
SE2321000016-FB6L;StockholmKids DjhlmBUMM
SE2321000016-2MWN;Storvretens BVC
SE2321000016-BLSG;Strandklin gyn Danderyd
SE2321000016-7R6G;Strandklinikens Gyn Center
SE2321000016-4ZC3;Stureby BVC
SE2321000016-5TP7;Stuvsta BHV
SE2321000016-12XT;Sundbybergs BMM
SE2321000016-689P;Systrarna Söder BVC
SE2321000016-7TL3;SÖS KK AV-SÖS*
SE2321000016-12C5;SÖS KK Gyn avd 72
SE2321000016-1JJH;SÖS KK Gynakuten
SE2321000016-12BG;SÖS KK Gynmottagning
SE2321000016-2F4C;SÖS KK Gyn Abortmott
SE2321000016-2F4B;SÖS KK Operation
SE2321000016-12C2;SÖS KK Samtalsmott
SE2321000016-3BXC;SÖS KK Amningscentrum
SE2321000016-F1DM;SÖS KK Antenatal
SE2321000016-12BK;SÖS KK BB avd 63
SE2321000016-12C4;SÖS KK BB avd 73
SE2321000016-8F2H;SÖS KK BB avd 85
SE2321000016-3BXB;SÖS KK BB-mottagning
SE2321000016-12CH;SÖS KK Förlossning
SE2321000016-12C9;SÖS KK MVC Spec
SE2321000016-4QC9;SÖS KK Snittmottagning
SE2321000016-12C3;SÖS KK Vårdval Ultraljud
SE2321000016-12LT;SÖS Sac BUM Handen
SE2321000016-33QT;SÖS Sac Mott
SE2321000016-12LS;SÖS Sac Neohemsjukvård
SE2321000016-6ZNB;SÖS Sac Neomott
SE2321000016-FH3B;SÖS Sac Neovårdsavd
SE2321000016-5ZFZ;SÖS Sac Neuromott
SE2321000016-84NQ;SÖS Sac MMC*
SE2321000016-1663;S:t Eriks BVC
SE2321000016-7CQW;Telefonplans BVC
SE2321000016-CG7Q;Capio Ultraljudsbarnmorsk
SE2321000016-12ZP;Upplands Väsby BVC
SE2321000016-D60Q;UroCare
SE2321000016-D5X4;UroGyn Gynekologi
SE2321000016-D5XC;Urogyn Urologi
SE2321000016-G8XJ;Urokirurgiskt Centrum
SE2321000016-BPF5;Urologifocus
SE2321000016-BCJ4;Urologspec Södra STHLM
SE2321000016-G2KH;Vallentuna Gynmottagning
SE2321000016-59KT;VasaMamma
SE2321000016-G3HZ;Viva Gynekologmottagning
SE2321000016-FPHQ;Weda BMM
